指标,地区,分类,国家,商品,贸易方式,时间,数值
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,07-2022,150638717.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,08-2022,142876347.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,09-2022,114968295.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,10-2022,100999594.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,11-2022,112610039.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,12-2022,106164242.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,01-2023,92713436.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,02-2023,83328888.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,03-2023,94380589.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,04-2023,109021924.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,05-2023,130063935.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,06-2023,136053301.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,07-2023,133337957.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,08-2023,122728715.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,09-2023,123951706.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,10-2023,113611440.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,11-2023,109867116.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,12-2023,103051211.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,01-2024,139272347.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,02-2024,101746154.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,03-2024,111018087.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,04-2024,111063770.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,05-2024,107038156.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,06-2024,109117076.00000
