typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20240401","2024","4","202404","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","010129","Horses; live, other than pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1475","false","5","u","1475","false","1186537.262","true","0","false","32278052","30651614","32278052","4","false","true",
"C","M","20240401","2024","4","202404","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","010130","Asses; live","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1","false","5","u","1","false",,"false","0","false","6600","6500","6600","0","false","true",
"C","M","20240401","2024","4","202404","842","USA","USA","X","Export","0","W00","World","0","W00","World","H6","HS","true","010121","Horses; live, pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","163340.865","true","0","false",,"10114981","10114981","4","false","true",
"C","M","20240401","2024","4","202404","842","USA","USA","X","Export","0","W00","World","0","W00","World","H6","HS","true","010129","Horses; live, other than pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","519.514","true","-1","N/A","0","false","213403.005","true","0","false",,"10974780","10974780","6","false","true",
"C","M","20240401","2024","4","202404","842","USA","USA","X","Export","0","W00","World","0","W00","World","H6","HS","true","010130","Asses; live","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","15","false","5","u","15","false",,"false","0","false",,"20511","20511","0","false","true",
"C","M","20240401","2024","4","202404","842","USA","USA","X","Export","0","W00","World","0","W00","World","H6","HS","true","010190","Mules and hinnies; live","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false",,"1113933","1113933","0","false","true",
"C","M","20240501","2024","5","202405","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","010121","Horses; live, pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","145","false","5","u","145","false","118817.99","true","0","false","9326047","9125218","9326047","4","false","true",
"C","M","20240501","2024","5","202405","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","010129","Horses; live, other than pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1712","false","5","u","1712","false","1396634.266","true","0","false","37993441","36153533","37993441","4","false","true",
"C","M","20240501","2024","5","202405","842","USA","USA","X","Export","0","W00","World","0","W00","World","H6","HS","true","010121","Horses; live, pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","145005.54","true","0","false",,"8979555","8979555","4","false","true",
"C","M","20240501","2024","5","202405","842","USA","USA","X","Export","0","W00","World","0","W00","World","H6","HS","true","010129","Horses; live, other than pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","300.503","true","-1","N/A","0","false","123439.012","true","0","false",,"6348158","6348158","6","false","true",
