指标,地区,分类,国家,商品,贸易方式,时间,数值
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,07-2024,22261095.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,08-2024,25954364.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,09-2024,26725964.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,01-2019,694714.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,02-2019,305796.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,03-2019,335490.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,04-2019,210192.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,05-2019,284957.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,06-2019,166260.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,07-2019,312593.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,08-2019,494274.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,09-2019,755947.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,10-2019,906881.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,11-2019,659368.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,12-2019,1015670.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,01-2020,929873.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,02-2020,636208.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,03-2020,698120.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,04-2020,356503.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,05-2020,904809.00000
