指标,地区,分类,国家,商品,贸易方式,时间,数值
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,10-2018,1209384337.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,11-2018,1269310798.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,12-2018,1275655147.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,01-2019,1336738159.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,02-2019,531221033.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,03-2019,1027490913.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,04-2019,1038993417.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,05-2019,1101849777.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,06-2019,1022005114.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,07-2019,975110604.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,08-2019,964420107.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,09-2019,1012800494.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,10-2019,1079662132.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,11-2019,1128498105.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,12-2019,1249629178.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,01-2020,1083561540.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,02-2020,365272204.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,03-2020,846788438.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,04-2020,851932443.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,05-2020,863636650.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,06-2020,860433536.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,07-2020,898245172.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,08-2020,894665646.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,09-2020,955239138.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,10-2020,923375077.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,11-2020,1071888041.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,12-2020,1097095780.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,01-2021,1009475594.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,02-2021,542849473.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,03-2021,788082039.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,04-2021,877186787.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,05-2021,934953881.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,06-2021,842670646.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,07-2021,849727988.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,08-2021,912966555.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,09-2021,1005907846.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,10-2021,1075906947.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,11-2021,1124591941.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,12-2021,1073240275.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,01-2022,1215588106.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,02-2022,537654750.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,03-2022,887636954.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,04-2022,968039609.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,05-2022,1194058405.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,06-2022,1035151414.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,07-2022,1070598076.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,08-2022,986578199.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,09-2022,959137631.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,10-2022,1077887222.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,11-2022,1094487669.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,12-2022,1174154481.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,01-2023,963764493.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,02-2023,676301389.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,03-2023,944603662.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,04-2023,875323097.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,05-2023,895570549.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,06-2023,799248587.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,07-2023,840438721.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,08-2023,799517434.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,09-2023,815930140.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,10-2023,889752270.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,11-2023,941455561.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,12-2023,984609916.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,01-2024,1059618189.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,02-2024,509981054.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,03-2024,784116448.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,04-2024,797796378.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,05-2024,863227205.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,06-2024,826129707.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,07-2024,790253827.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,08-2024,821164507.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,09-2024,844486246.00000
进出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,01-2017,1918818120.00000
进出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,02-2017,1029726683.00000
进出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,03-2017,1736097520.00000
进出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,04-2017,1654863260.00000
进出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,05-2017,1786494472.00000
进出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,06-2017,1710332499.00000
