,time,code,IM_PQ,EX_PQ,IM_Q,EX_Q,IM_P,EX_P,year,gdp,population,lgdp,lpopu,lexp,limp,lexq,limq
216,07-2023,03,1468880147.0,840438721.0,353215346.0,177374542.0,4.158596628471516,2.3793946965146864,2023,105435039507024.0,8024997028,32.289116139929476,22.805827135619744,0.8668461261407189,1.4251776684331063,18.993774111341075,19.682588474221344
217,08-2017,03,735041607.0,1104397801.0,260097485.0,246001418.0,2.826023508070445,4.246091810537884,2017,81550955754739.3,7577110140,32.03224916478881,22.748397715886078,1.4459989858776956,1.0388706027240022,19.320847858107665,19.376567061014192
218,08-2018,03,972796657.0,1041143468.0,258393105.0,229957797.0,3.764793402672258,4.029300503200346,2018,86686870786621.5,7661177849,32.0933235555677,22.759431575066092,1.3935927884862962,1.3256929866180533,19.25340635874653,19.369992646080178
219,08-2019,03,1316647709.0,964420107.0,369378170.0,218254749.0,3.5644978938522542,2.610928813145617,2019,87945574337517.8,7742724795,32.107739265635864,22.770019503293934,0.9597060251345225,1.2710232007077196,19.201173511897423,19.72733152815211
220,08-2020,03,709473437.0,894665646.0,195969945.0,187854572.0,3.620317579820722,4.5653206975181835,2020,85577718250195.5,7821271846,32.08044606437664,22.78011301843261,1.5184887629525157,1.2865617512219394,19.05117866825608,19.093471863599994
221,08-2021,03,1205303498.0,912966555.0,328318781.0,176821403.0,3.671137832349591,2.780732044080049,2021,97527032881901.1,7888963821,32.21115071583,22.788730635043017,1.0227142182471989,1.3005016500777893,18.990650758533235,19.6094955876586
222,08-2022,03,1789668913.0,986578199.0,385030263.0,179210417.0,4.648125316320915,2.5623393634385567,2022,101225059591363.0,7951595433,32.24836746654863,22.796638428874658,0.940920655060975,1.5364639805288693,19.004071187395944,19.768832494357635
223,08-2023,03,1406633039.0,799517434.0,330577338.0,164776276.0,4.255080059359665,2.4185488298656455,2023,105435039507024.0,8024997028,32.289116139929476,22.805827135619744,0.8831677032220673,1.4481135772090041,18.92009920876626,19.616351192907295
224,09-2017,03,810122114.0,1031640478.0,259937677.0,250255584.0,3.116601345944936,3.9687993287714116,2017,81550955754739.3,7577110140,32.03224916478881,22.748397715886078,1.3784636128783554,1.1367430958925118,19.33799328959697,19.37595245640009
225,09-2018,03,1135453249.0,1081060072.0,316652573.0,246492102.0,3.5858014297581597,3.4140258572918656,2018,86686870786621.5,7661177849,32.0933235555677,22.759431575066092,1.2278921982427662,1.2769819999069143,19.322840510365758,19.573315746584527
226,09-2019,03,1356083200.0,1012800494.0,390304682.0,243264621.0,3.4744220670148147,2.594897116811937,2019,87945574337517.8,7742724795,32.107739265635864,22.770019503293934,0.9535468691312985,1.2454281535350262,19.30966038410996,19.782438227979483
227,09-2020,03,947673936.0,955239138.0,301315211.0,208480616.0,3.145124777653525,3.1702320464664493,2020,85577718250195.5,7821271846,32.08044606437664,22.78011301843261,1.1538047859882028,1.1458535642949534,19.15535662605632,19.523667487393105
228,09-2021,03,1254631183.0,1005907846.0,299855142.0,193408949.0,4.184124289587804,3.354645977690121,2021,97527032881901.1,7888963821,32.21115071583,22.788730635043017,1.2103462440482193,1.431297432245837,19.080317411888135,19.518810056006046
229,09-2022,03,1822640538.0,959137631.0,337913315.0,178428389.0,5.393810948230909,2.8384132510433924,2022,101225059591363.0,7951595433,32.24836746654863,22.796638428874658,1.0432451816127108,1.6852521755736447,18.99969789661608,19.638299956057608
230,09-2023,03,1642296220.0,815930140.0,420664944.0,184190786.0,3.904048206118169,1.9396200031348465,2023,105435039507024.0,8024997028,32.289116139929476,22.805827135619744,0.6624920792165281,1.362014016353241,19.031482658818828,19.857347217301776
231,10-2017,03,718803700.0,1130190888.0,211775442.0,254752553.0,3.394178726351094,5.336741962743726,2017,81550955754739.3,7577110140,32.03224916478881,22.748397715886078,1.6746153474371808,1.2220618249279565,19.355803251606687,19.171037035400477
232,10-2018,03,1082076381.0,1209384337.0,306112777.0,280357216.0,3.5348945300639967,3.950780326297847,2018,86686870786621.5,7661177849,32.0933235555677,22.759431575066092,1.373913110363889,1.2626834629950905,19.45157511945721,19.539464144305523
233,10-2019,03,1373784405.0,1079662132.0,406224614.0,250885856.0,3.381834476923154,2.6577959453732167,2019,87945574337517.8,7742724795,32.107739265635864,22.770019503293934,0.9774971873565842,1.2184183069141403,19.340508636690636,19.82241680104034
234,10-2020,03,914828045.0,923375077.0,,,,,2020,85577718250195.5,7821271846,32.08044606437664,22.78011301843261,,,,
