time,code,IM_PQ,EX_PQ,IM_Q,EX_Q,IM_P,EX_P,year,fdi,gdp,pop,tea,btea,gtea,lgdp,lpop,lfdi,lexp,limp,lexq,limq,len,dropped,missing1,rate,is_tea,i0901,i0902,i0903,tea_sq,tea_pr
01-2017,090122,,,,,,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,,,,6,1,1,6.858513636363637,1,1,0,0,2848.72,246.04
01-2017,090190,,,,,,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,,,,6,1,1,6.858513636363637,1,1,0,0,2848.72,246.04
01-2017,090210,31530.0,,2129.0,,14.809769844997652,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,2.695287087645627,,7.663407664893479,6,0,1,6.858513636363637,1,0,1,0,2848.72,246.04
01-2017,090220,,,,,,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,,,,6,1,1,6.858513636363637,1,0,1,0,2848.72,246.04
01-2017,090230,4072.0,,398.0,,10.231155778894472,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,2.325437552945921,,5.986452005284438,6,0,1,6.858513636363637,1,0,1,0,2848.72,246.04
01-2017,090240,,,,,,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,,,,6,1,1,6.858513636363637,1,0,1,0,2848.72,246.04
01-2017,090300,,,,,,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,,,,6,1,1,6.858513636363637,1,0,0,1,2848.72,246.04
01-2017,090411,,,,,,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,,,,6,1,1,6.858513636363637,0,0,0,0,2848.72,246.04
01-2017,090412,196.0,,91.0,,2.1538461538461537,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,0.7672551527136672,,4.51085950651685,6,0,1,6.858513636363637,0,0,0,0,2848.72,246.04
01-2017,090421,35530.0,,11000.0,,3.23,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,1.172482137234565,,9.305650551780507,6,0,1,6.858513636363637,0,0,0,0,2848.72,246.04
01-2017,090422,,,,,,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,,,,6,1,1,6.858513636363637,0,0,0,0,2848.72,246.04
01-2017,090619,,,,,,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,,,,6,1,1,6.858513636363637,0,0,0,0,2848.72,246.04
01-2017,090921,,,,,,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,,,,6,1,1,6.858513636363637,0,0,0,0,2848.72,246.04
01-2017,090931,,,,,,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,,,,6,1,1,6.858513636363637,0,0,0,0,2848.72,246.04
01-2017,090932,,,,,,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,,,,6,1,1,6.858513636363637,0,0,0,0,2848.72,246.04
01-2017,090961,,,,,,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,,,,6,1,1,6.858513636363637,0,0,0,0,2848.72,246.04
01-2017,090962,,,,,,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,,,,6,1,1,6.858513636363637,0,0,0,0,2848.72,246.04
01-2017,091011,1615.0,,500.0,,3.23,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,1.172482137234565,,6.214608098422191,6,0,1,6.858513636363637,0,0,0,0,2848.72,246.04
01-2017,091012,1615.0,,500.0,,3.23,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,1.172482137234565,,6.214608098422191,6,0,1,6.858513636363637,0,0,0,0,2848.72,246.04
01-2017,091030,,,,,,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,,,,6,1,1,6.858513636363637,0,0,0,0,2848.72,246.04
01-2017,091091,269.0,,28.0,,9.607142857142858,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,2.2625068694266353,,3.332204510175204,6,0,1,6.858513636363637,0,0,0,0,2848.72,246.04
01-2017,091099,,,,,,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,,,,6,1,1,6.858513636363637,0,0,0,0,2848.72,246.04
01-2017,0901,6642370.0,,1897820.0,,3.5,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,1.252762968495368,,14.45621641698455,4,0,1,6.858513636363637,1,1,0,0,2848.72,246.04
01-2017,0902,35602.0,,2527.0,,14.088642659279778,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,2.645368987649184,,7.834788107388194,4,0,1,6.858513636363637,1,0,1,0,2848.72,246.04
01-2017,0903,,,,,,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,,,,4,1,1,6.858513636363637,1,0,0,1,2848.72,246.04
01-2017,0904,35726.0,,11091.0,,3.2211703182760796,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,1.1697447464040882,,9.313889247604742,4,0,1,6.858513636363637,0,0,0,0,2848.72,246.04
01-2017,0906,,,,,,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,,,,4,1,1,6.858513636363637,0,0,0,0,2848.72,246.04
01-2017,0909,,,,,,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,,,,4,1,1,6.858513636363637,0,0,0,0,2848.72,246.04
01-2017,0910,3499.0,,1028.0,,3.4036964980544746,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,1.2248620463525777,,6.93537044601511,4,0,1,6.858513636363637,0,0,0,0,2848.72,246.04
01-2017,09,6717197.0,,1912466.0,,3.512322310566567,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,1.2562774456412056,,14.463904066747023,2,0,1,6.858513636363637,0,0,0,0,2848.72,246.04
01-2018,09011100,,,,,,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,,,,8,1,1,6.429695652173914,1,1,0,0,2985.8,261.03931
01-2018,09012100,,,,,,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,,,,8,1,1,6.429695652173914,1,1,0,0,2985.8,261.03931
01-2018,09012200,,,,,,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,,,,8,1,1,6.429695652173914,1,1,0,0,2985.8,261.03931
01-2018,09019010,,,,,,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,,,,8,1,1,6.429695652173914,1,1,0,0,2985.8,261.03931
01-2018,09019020,,,,,,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,,,,8,1,1,6.429695652173914,1,1,0,0,2985.8,261.03931
01-2018,09021010,54751.0,,4373.0,,12.520237823004802,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,2.5273463609392093,,8.38320455141292,8,0,1,6.429695652173914,1,0,1,0,2985.8,261.03931
01-2018,09021090,172835.0,,26308.0,,6.569674623688612,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,1.8824643067174154,,10.177628354421241,8,0,1,6.429695652173914,1,0,1,0,2985.8,261.03931
01-2018,09022010,,,,,,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,,,,8,1,1,6.429695652173914,1,0,1,0,2985.8,261.03931
01-2018,09022090,15306.0,,2551.0,,6.0,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,1.791759469228055,,7.844240718141811,8,0,1,6.429695652173914,1,0,1,0,2985.8,261.03931
01-2018,09023010,37040.0,,2958.0,,12.521974306964164,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,2.5274850454893705,,7.992268643270745,8,0,1,6.429695652173914,1,0,1,0,2985.8,261.03931
01-2018,09023020,,,,,,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,,,,8,1,1,6.429695652173914,1,0,1,0,2985.8,261.03931
01-2018,09023090,36755.0,,3011.0,,12.206908003985387,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,2.502002021326454,,8.010027528481734,8,0,1,6.429695652173914,1,0,1,0,2985.8,261.03931
01-2018,09024010,,,,,,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,,,,8,1,1,6.429695652173914,1,0,1,0,2985.8,261.03931
01-2018,09024020,,,,,,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,,,,8,1,1,6.429695652173914,1,0,1,0,2985.8,261.03931
01-2018,09024090,2400.0,,400.0,,6.0,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,1.791759469228055,,5.991464547107982,8,0,1,6.429695652173914,1,0,1,0,2985.8,261.03931
01-2018,09030000,,,,,,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,,,,8,1,1,6.429695652173914,1,0,0,1,2985.8,261.03931
01-2018,09041100,,,,,,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,,,,8,1,1,6.429695652173914,0,0,0,0,2985.8,261.03931
01-2018,09041200,8082.0,,705.0,,11.463829787234042,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,2.43919684282615,,6.558197802812269,8,0,1,6.429695652173914,0,0,0,0,2985.8,261.03931
01-2018,09042100,,,,,,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,,,,8,1,1,6.429695652173914,0,0,0,0,2985.8,261.03931
01-2018,09042200,,,,,,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,,,,8,1,1,6.429695652173914,0,0,0,0,2985.8,261.03931
01-2018,09061900,,,,,,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,,,,8,1,1,6.429695652173914,0,0,0,0,2985.8,261.03931
01-2018,09092100,,,,,,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,,,,8,1,1,6.429695652173914,0,0,0,0,2985.8,261.03931
01-2018,09093100,,,,,,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,,,,8,1,1,6.429695652173914,0,0,0,0,2985.8,261.03931
01-2018,09093200,,,,,,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,,,,8,1,1,6.429695652173914,0,0,0,0,2985.8,261.03931
01-2018,09096110,,,,,,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,,,,8,1,1,6.429695652173914,0,0,0,0,2985.8,261.03931
01-2018,09096290,141.0,,12.0,,11.75,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,2.463853240590168,,2.4849066497880004,8,0,1,6.429695652173914,0,0,0,0,2985.8,261.03931
01-2018,09101100,,,,,,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,,,,8,1,1,6.429695652173914,0,0,0,0,2985.8,261.03931
01-2018,09101200,,,,,,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,,,,8,1,1,6.429695652173914,0,0,0,0,2985.8,261.03931
01-2018,09103000,,,,,,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,,,,8,1,1,6.429695652173914,0,0,0,0,2985.8,261.03931
01-2018,09109100,100.0,,28.0,,3.5714285714285716,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,1.2729656758128876,,3.332204510175204,8,0,1,6.429695652173914,0,0,0,0,2985.8,261.03931
01-2018,09109900,,,,,,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,,,,8,1,1,6.429695652173914,0,0,0,0,2985.8,261.03931
01-2018,090111,,,,,,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,,,,6,1,1,6.429695652173914,1,1,0,0,2985.8,261.03931
01-2018,090121,,,,,,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,,,,6,1,1,6.429695652173914,1,1,0,0,2985.8,261.03931
