指标,地区,分类,国家,商品,贸易方式,时间,数值
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,04-2018,
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,05-2018,203.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,06-2018,159.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,07-2018,
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,08-2018,
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,09-2018,348359.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,10-2018,89.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,11-2018,
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,12-2018,19.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,01-2019,1869648.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,02-2019,64.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,03-2019,141.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,04-2019,125.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,05-2019,39.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,06-2019,15134.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,07-2019,903797.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,08-2019,170.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,09-2019,60.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,10-2019,13.00000
