time,code,IM_PQ,EX_PQ,IM_Q,EX_Q,IM_P,EX_P,year,fdi,gdp,pop,lgdp,lpop,lfdi,lexp,limp,lexq,limq
05-2019,010511,,,,,,,2019,14122000,986515.2,141008,13.801934012334215,11.856571905339441,16.46324442305843,,,,
05-2019,010611,,,,,,,2019,14122000,986515.2,141008,13.801934012334215,11.856571905339441,16.46324442305843,,,,
05-2019,010619,115345.0,,100.0,,1153.45,,2019,14122000,986515.2,141008,13.801934012334215,11.856571905339441,16.46324442305843,,7.050512730337094,,4.605170185988092
05-2019,0105,,,,,,,2019,14122000,986515.2,141008,13.801934012334215,11.856571905339441,16.46324442305843,,,,
05-2019,0106,115345.0,,100.0,,1153.45,,2019,14122000,986515.2,141008,13.801934012334215,11.856571905339441,16.46324442305843,,7.050512730337094,,4.605170185988092
05-2019,01,115345.0,,100.0,,1153.45,,2019,14122000,986515.2,141008,13.801934012334215,11.856571905339441,16.46324442305843,,7.050512730337094,,4.605170185988092
06-2017,01051110,,,,,,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,,,
06-2017,01061110,,,,,,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,,,
06-2017,01061910,300900.0,,335.0,,898.2089552238806,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,6.800402730793071,,5.814130531825066
06-2017,010511,,,,,,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,,,
06-2017,010611,,,,,,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,,,
06-2017,010619,300900.0,,335.0,,898.2089552238806,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,6.800402730793071,,5.814130531825066
06-2017,0105,,,,,,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,,,
06-2017,0106,300900.0,,335.0,,898.2089552238806,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,6.800402730793071,,5.814130531825066
06-2017,01,300900.0,,335.0,,898.2089552238806,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,6.800402730793071,,5.814130531825066
07-2017,01051110,359058.0,,570.0,,629.9263157894737,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,6.445602853481006,,6.345636360828596
07-2017,01061110,,,,,,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,,,
07-2017,01061910,,,,,,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,,,
07-2017,010511,359058.0,,570.0,,629.9263157894737,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,6.445602853481006,,6.345636360828596
07-2017,010611,,,,,,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,,,
07-2017,010619,,,,,,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,,,
07-2017,0105,359058.0,,570.0,,629.9263157894737,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,6.445602853481006,,6.345636360828596
07-2017,0106,,,,,,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,,,
07-2017,01,359058.0,,570.0,,629.9263157894737,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,6.445602853481006,,6.345636360828596
09-2017,01051110,,,,,,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,,,
09-2017,01061110,,,,,,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,,,
09-2017,01061910,100000.0,,150.0,,666.6666666666666,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,6.502290170873972,,5.0106352940962555
09-2017,010511,,,,,,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,,,
09-2017,010611,,,,,,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,,,
09-2017,010619,100000.0,,150.0,,666.6666666666666,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,6.502290170873972,,5.0106352940962555
09-2017,0105,,,,,,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,,,
09-2017,0106,100000.0,,150.0,,666.6666666666666,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,6.502290170873972,,5.0106352940962555
09-2017,01,100000.0,,150.0,,666.6666666666666,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,6.502290170873972,,5.0106352940962555
11-2017,01051110,,,,,,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,,,
11-2017,01061110,,,,,,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,,,
11-2017,01061910,1000000.0,,100.0,,10000.0,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,9.210340371976184,,4.605170185988092
11-2017,010511,,,,,,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,,,
11-2017,010611,,,,,,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,,,
